REGION_ID,R0_ESTIMATE_20200101_20201231,D_ESTIMATE_20200101_20201231,R0_ESTIMATE_20200301_20200430,D_ESTIMATE_20200301_20200430,R0_ESTIMATE_20200501_20200630,D_ESTIMATE_20200501_20200630,R0_ESTIMATE_20200701_20200831,D_ESTIMATE_20200701_20200831,R0_ESTIMATE_20200901_20201031,D_ESTIMATE_20200901_20201031
27117,1.30033622300047,0.00290826921849829,0.975704460668222,-0.054365327847135,1.33391740663849,0.0141454790517543,1.39122630925357,0.0195471313080728,1.00836351648647,-0.00742342752947056
27119,1.49056038149814,0.00714085656753416,0.56648285344589,-0.286448838328811,1.09676771074444,0.00378731025669632,1.08145620094515,-0.000387556971105374,1.07619055594768,-0.00154345348156892
27121,1.34813885872858,0.00500986660907876,NA,NA,1.98852559253295,0.0471959920367184,1.39366552160592,0.0157420385335809,1.09081665696212,0.000420638812261398
27123,1.85120957414965,0.00993611039069031,3.06721869835656,0.0595227183691815,1.49935751808633,0.0215268038107073,1.06597602452362,0.000549601010136236,1.03142527395921,-0.000419080392378146
27125,1.10943362203408,-0.000447818622728691,NA,NA,1.54348245135225,0.0326716276531946,1.40507248281346,0.0113293131549093,1.08626302318933,0.00351545200420844
27127,1.16967729711597,0.000406664676334323,1.0,0.0,1.03654823651851,-0.0115774013523714,1.12131723908532,0.00204070996169814,1.12416281164294,-0.00756423609009171
27129,1.16930746099742,0.000656474802535501,1.12324255819314,-0.00586828564416919,0.882527340972632,-0.0231839262010787,1.08747095223391,0.000714288134413543,1.11723179220152,-0.000319868438931725
27131,1.64776944711448,0.0084189357939437,1.76811713860618,0.0410167150406475,2.27216980032889,0.051346060410427,1.02730165483339,-0.000261730760862777,1.01719267435347,-0.000931378779647996
27133,1.29412507257198,0.00393382497345041,NA,NA,1.03357381722842,-0.00106760846756337,1.18356123245309,0.00513341452514182,1.1055929912366,0.00190998016632116
27135,1.132315285794,-0.00082714591980404,1.0,0.0,1.10604896524572,-0.00877861528103985,1.2758632888798,0.0106972255457098,1.1763306895775,0.00962849634799001
27139,1.49948474042314,0.00617809647947887,1.96633747032151,0.0520133124194413,1.53663516001951,0.0242134499111768,1.14830922157365,0.00421620627001995,1.0400175682243,-0.000547007092651208
27141,1.44620807575733,0.00583166193138496,1.85244064342323,0.0627629385802537,1.35349368878403,0.0178431869586004,1.15111394766337,0.00400499126697107,1.03804646122258,-0.0013145412436224
27143,1.2470455563376,0.0020478925088081,1.0,0.0,1.73865962683207,0.0268365954463701,1.04651331746852,-0.00289687771558689,1.06908542531546,0.000938974212332244
27137,1.51389328040634,0.00620376841539794,3.85618322245697,0.118858542087564,1.06483240350524,0.000979332820818746,1.18209920959694,0.00197764404990441,1.11578695818067,-0.00117132649281981
27145,1.77320186873433,0.00952811934994857,1.57332588902992,0.0118751473599878,1.24694593561468,0.0142673941650577,1.03689173351382,0.000882123405541613,1.02382551630642,-0.00265338286426131
27147,1.36413532488001,0.00470296512992041,1.49172843545725,0.0323596283299925,1.65066454481767,0.0315373480872345,1.07197099375765,0.00146940104819282,1.04476844730096,2.56222070691425e-05
27149,1.23546214409496,0.000880013589519946,NA,NA,0.872704162427762,-0.0483138780759309,1.44473659409014,0.0175417672201521,1.2064724115176,0.0109341947379131
27151,1.30414459705744,0.00379407544930022,1.0,0.0,2.00164058708585,0.0480110699455416,1.29546759848087,0.0157877357631393,1.18359005601068,0.00596928115527984
27153,1.6775651812904,0.0111294221101321,NA,NA,2.11630934450146,0.0448134654248147,1.00293535157285,-0.000686285512503604,1.00435624708215,-0.00356992992909433
27155,1.0329261298863,-0.00137903458314281,1.0,0.0,1.16886095597207,0.00632781121936277,1.08906318660577,-0.00300654697770142,1.10937106294213,4.35676540349039e-05
90027,1.24041991708578,0.00341886978462624,0.391352018006984,-0.228541269295655,1.54196557897301,0.0239126113525736,1.32402186855136,0.0233726930359071,0.91114740459601,-0.00996245216638447
27157,1.28192914704403,0.00301211877034913,2.41471034481628,0.0922035981285199,1.15630846795924,0.00433343155613408,1.20948973551112,0.00677137011635054,1.07319439444365,-0.00341394573838072
27159,1.31427586818662,0.00453085422489097,NA,NA,1.2926955361408,0.0108718344689798,1.05102260632416,-0.00474369398901842,1.05547653680455,-0.00688800579492077
27161,1.25182309620828,0.00160284091054419,1.55158491131138,0.0402656670712513,1.44546721013092,0.0185638833260533,1.10696265877754,-0.00137888659247087,1.18802080866134,0.000898941072464021
27163,1.61470629081631,0.00767275357012398,3.54429018710647,0.104154216327163,1.37940915798592,0.0159089109536255,1.11433717555983,0.00179855768272574,1.03512314417571,-0.0016569651867463
27165,1.40763720304268,0.00530282073166499,1.44829694029639,0.032407707143393,1.43667137824025,0.012534030679388,1.06236236565122,0.000162860107757901,1.03908618753615,0.0010970231313665
27167,1.26137201082783,0.00340024814929141,1.73300176692992,0.0221363451796859,0.960064414643539,-0.00951536882594817,1.02938901393797,-0.00507773869509731,0.995334592437929,-0.0120416041379761
27169,1.3036333090959,0.00351069323319964,2.29723637171527,0.0607846525799398,1.01404576714052,-0.0029252216113731,1.14496205772661,0.00385459375243702,1.16600588035635,0.00872032101815945
27171,1.57446492394121,0.00706130443958819,2.15378173246114,0.0432383750242289,1.50251405725542,0.0229474982035176,1.10982261385739,0.00180536140791854,1.0427719621612,-0.00189081302525218
27173,1.20277479636242,0.00112794402502425,1.48833487535969,0.0329836020098937,1.07682388992783,-0.0126787989282003,1.06527286604226,-0.00178538195802846,1.14618908750343,0.0024035311477888
28001,1.63062566990643,0.00859094112612246,3.93888351517826,0.106870050857779,1.05321412591608,0.000509702318721272,1.13724679892993,0.00422276805608313,1.04612648695704,0.00226149668271836
28003,1.20461403569092,0.000607413854655681,1.67325855220219,0.0665692766389685,1.05761356228405,-0.00927532381286411,1.44987917935116,0.0164957457531527,1.05226594315494,0.0014704209267038
28005,1.29423107541686,0.00386356525657949,1.77006230112502,0.0457069044210698,1.17712540298172,0.00737756882853713,1.20469464355994,0.00795040843244177,1.02229652283565,-0.00217569484480262
28007,1.66222830200939,0.00937224864343866,3.2056402256644,0.0873678487624203,1.19150996521302,0.00991448479495305,1.06507406332273,0.00164879589529399,1.0230758201633,-0.000171123040405119
