REGION_ID,R0_ESTIMATE_20200101_20201231,R0_ESTIMATE_20200315_20200429,R0_ESTIMATE_20200430_20200614,R0_ESTIMATE_20200615_20200730,R0_ESTIMATE_20200731_20200914,R0_ESTIMATE_20200915_20201030
01001,1.3872636559678,1.52115361501551,1.45513936423816,1.13126723080177,1.07700758786105,1.03752806407032
01003,1.66079287498624,3.02953618389892,1.14177606367841,1.29608033074975,1.07465303231557,1.05086710375844
01005,1.57182927210873,4.22263616275007,1.24376595581723,1.09394785800293,1.03611023670733,1.04432605107909
01007,1.38687020383351,2.4625867312511,1.04400096743559,1.16428716891849,1.10505455816234,1.0262414674511
01009,1.31073018904246,1.49751377908016,1.0266433381549,1.19243809587711,1.07591968632355,1.03588062317915
01011,1.46807588481189,1.18838571638174,1.53493851372474,1.04522185917271,1.06381541364467,1.02235453309058
01013,1.72435724024489,1.2959185401198,1.79910923758694,1.03044807346589,1.01938740847689,1.00337116051417
01015,1.58943886242655,4.25393104045285,1.1403806196486,1.18199730094725,1.0914207997233,1.05218758670063
01017,1.65066988885157,5.72306013689643,1.03405429250626,1.08297980501624,1.01653219456946,1.02695390773529
01019,1.3972597148862,2.55055435504772,1.2616469981916,1.19306486166638,1.08915951630235,1.07199297729795
01021,1.301714169983,2.02939681771277,1.14675229194605,1.15511090134734,1.07805817131278,1.04824316281908
01023,1.58123004952476,2.50218336417852,1.29802252107183,1.01162004786601,1.03393594567531,1.00179239404255
01025,1.30792420570835,1.91478596986008,1.37772399909592,1.09252141446744,1.28025243097252,1.0227520431634
01027,1.36832168554923,3.14173465010545,1.10452127869307,1.27831084683943,1.11495514394087,1.05913837696455
01029,1.15705463786894,1.97296526289255,0.998400971234676,1.15897686021104,1.0839379852745,1.10487756263001
01031,1.40628552098004,2.75460590312841,1.15431024330199,1.05388820630918,1.06614553595474,1.04726285123001
01033,1.60853243808766,2.71809458526991,1.48086867130349,1.10139625425891,1.0661680568247,1.0300282415748
01035,1.4100085243573,2.22869157169157,1.233114863782,1.15564550785842,1.04313940423741,1.02673877717154
01037,1.32238286222551,2.15407046135327,1.04588076953638,1.04327756973094,1.06476299589328,1.04386366914341
01039,1.55112026704983,2.60094370546354,1.16921839899534,1.19208877312531,1.03815940729354,1.03517998862453
01041,1.46078964406969,1.2195569017344,1.44614136125244,0.972961796438,1.07088578024464,1.02192849162546
01043,1.47905625372235,2.65665299035893,0.989667677518366,1.16562991788079,1.05143761833751,1.03047238571188
01045,1.41244299130832,1.96967051115784,1.34770499884808,1.1157608992315,1.05511772757081,1.04188264216822
01047,1.59250758223165,1.83118142925845,1.63886942237144,1.14971789892326,1.02380376233604,1.02045185197234
01049,1.70847742240352,4.20017792673589,1.44592458322483,1.25015738488019,1.04887514718836,1.01126577017244
01051,1.5509926503204,2.21585150324854,1.34456483287988,1.12289755595449,1.04867190320333,1.04219634488433
01053,1.55898275189639,3.34227012825309,1.0448792386376,1.39499491674064,1.06510809820876,1.01932007450474
01055,1.50405310131486,3.65649520428783,1.16842813378754,1.27102428218718,1.08040136877648,1.03813750172119
01057,1.33309581967378,1.69009748622009,1.10211721123772,1.04136024874611,1.1427721623314,1.06658085446425
01059,1.58347170657755,1.27872344102827,1.82944080110766,1.04539563159083,1.05380998708957,1.01246526357443
01061,1.38253441509397,NA,1.40693727290523,1.12982452383688,1.10117956391589,1.06855860823369
01063,1.56530039704516,3.22460959486575,1.16901458260235,1.0642065301586,1.02868462337383,1.00245987284392
01065,1.65692140225864,4.38839946330462,1.22658032598786,1.07216495353132,1.03666002135264,1.02657972082686
01067,1.33542190084712,2.57694122768585,1.20043628398688,1.0461498987693,1.059002905742,1.05432984543042
01069,1.48726469480309,3.1609827402308,1.13413453055162,1.1015479842699,1.07212994015524,1.05478778052706
01071,1.51830659619315,3.31795729395927,1.07795072053061,1.29518368723809,1.12400777509846,1.03181771460837
01073,1.48868597145817,3.00937989508344,1.12378907539773,1.24281464877329,1.0655618836701,1.03054895432572
01075,1.33644859413762,1.53392398290584,1.10544429304038,1.0971010597732,1.08407347536852,1.07072612354969
01077,1.48632764160089,2.65449593061837,1.3624547865623,1.18984147946999,1.06110398061653,1.03583815831637
01079,1.32758432963131,1.88823925371143,1.41369638602776,1.12979380409126,1.06017047272857,1.0400444417255
01081,1.59900176204171,4.00773521112728,1.04658924285969,1.20952062877879,1.04549901478726,1.03443869253736
01083,1.52957415290147,3.46015843182413,1.10407483135947,1.25403497903749,1.08223308328513,1.04028758086622
01085,1.68020601697968,2.63227100114361,1.27820575860357,1.04787526873671,1.01920475141173,1.00824072219159
01087,1.56773656399132,4.71635261513509,1.12419346145521,1.10111298869977,1.05913744033476,1.01835125431507
01089,1.73612817421734,7.37465211513564,1.05041824781808,1.3188357510032,1.04515096536688,1.04190556332104
01091,1.51139732402421,2.66023178262125,1.30318262616112,1.08761952610875,1.04949846957222,1.01782160838313
01093,1.56388650965874,3.9603814263483,1.12012058119301,1.11076235907949,1.05079705387362,1.03174069926327
01095,1.6608575330883,3.00279882283826,1.29979477461073,1.19857631312733,1.04735606087729,1.0289655419071
01097,1.92258715915829,7.09429859326209,1.17707682008026,1.11108256208497,1.08626372838253,1.02207956144231
01099,1.50100462643935,3.21880111792017,1.07413362496504,1.13668340342799,1.04602922443182,1.01529985013
01101,1.79170412868888,3.04240474874541,1.37068032985069,1.0908974395604,1.05741245570649,1.0169419349081
01103,1.39142662209998,1.9152862853199,1.13444271315561,1.15954040547568,1.05323056888847,1.0270737537439
80001,NA,NA,NA,NA,NA,NA
01105,1.51664783835418,4.58587238900494,1.34997826222527,1.30591587582264,1.02795181107885,1.00519143980771
01107,1.56975628943792,4.13687767685621,1.1769947982107,1.16538170833019,1.09048176491391,1.03156994791916
01109,1.53959274438896,2.63429656128686,1.16766668038498,1.06110364151668,1.04988222825283,1.03828801297597
01111,1.59106078529469,4.70517913185402,1.31268522273475,1.14217136876353,1.02368005918653,1.06194101530214
01113,1.65544449312545,3.26531849665317,1.17835486255702,1.17994306170923,1.06934818800806,1.02547403246895
01117,1.54564645521468,3.81092412010464,1.07585555869189,1.20788422159418,1.04714120093956,1.04414271890703
01115,1.53770007812208,3.27329913430387,1.05844659563728,1.26730883031089,1.0671792811324,1.0308557961944
01119,1.57667956907461,4.05927299496607,1.31130718623023,1.0087089665773,1.02228071034248,1.03373276685621
01121,1.54064648390413,3.49492492301759,1.07049431553414,1.19409973671225,1.10138181280592,1.0374625088433
